chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,English Type
0.35357255,2478.1531445925916,3001.159863009085,4688.385348605353,0.06242627933172789,-397.53006,-0.010084091,-0.010223588,126.152016,-0.0058744536,-0.008342621,-7.3051944,0.0071252803,0.0010214432,-10.89591,0.008066506,0.0025853596,-1.4814098,0.0007918756,0.0003620381,-4.0898438,-0.0009020136,0.0017833915,-6.478607,0.0032717788,0.0040235408,-2.1160424,0.0031929002,0.0024082835,-2.5746872,-0.0028067282,-0.0005578639,1.0231061,-0.006383485,-0.0013418053,-5.6847253,-0.0035340798,-0.0007299037,-7.4960246,0.00046364422,-0.00029709787,-0.58228606,0.00096823386,-0.00016648493,0
0.4305268,4405.793225397854,3965.441387500002,8597.726712705478,0.13147838534422443,-392.63144,-0.024224257,-0.0018673916,80.5838,-0.004688834,0.0003596212,-3.1444678,0.007893376,0.0015559526,19.58367,0.0011865845,0.0003273381,-13.346844,-0.0030387733,-0.00089133147,7.613447,0.004813079,-0.000114489,-24.233402,0.0061847456,0.0005020437,4.66795,-0.0011719055,0.00014666581,-5.7992463,0.0009495157,-0.00019278092,-15.883032,-0.0014616867,-0.0011117826,0.40281793,-0.0022089526,-0.00014898945,-9.473802,-0.0022726671,0.0007878219,-12.614495,0.0023741904,0.001549232,0
0.38642314,1618.0067319428822,1672.6447710417822,2953.569861778846,0.05379932720340884,-363.58258,-0.02679131,-0.009920899,149.28442,-0.006280367,0.00058398134,1.7697151,0.015448545,0.0022016948,11.901554,0.0007828949,-0.008609944,5.2458105,0.0040376917,0.001921746,-23.98474,0.0018169344,-0.00020181331,-11.689056,-0.003004174,-0.0053833495,-1.154122,0.0062491708,0.0022484707,4.158418,0.0017023359,-0.001284821,0.8302747,-0.00025141455,-0.0004625496,-7.6067085,0.0039638886,0.0027799585,-2.417142,-0.0032951124,-0.004185347,-4.6139812,-0.002802453,-0.002408256,0
0.44230375,4172.202504750074,3674.9970444125943,7827.466188363694,0.11560968648446857,-381.91296,0.016305873,0.0032820997,77.07594,0.0035359734,0.0025455884,-14.557121,-0.0002880457,0.00021294128,43.227657,0.011159095,-0.0006196079,-2.0927308,-0.0012437662,-0.00063365814,2.8765934,-0.0017818976,-0.0008804637,-9.110464,0.0039359606,-0.0011542718,5.730205,-0.003501588,0.00074523146,-6.9435425,-0.0013273064,0.0011157005,-5.548301,0.0030935525,0.0004397781,-5.539931,-0.003464861,0.0007095684,0.64856344,-0.00042512172,0.0022703796,-2.3328118,0.0021012702,0.00182719,0
0.3954567,3780.123382474986,3666.5815228799547,6993.075942993164,0.10703297725340137,-388.4371,0.013327504,0.008821408,101.4526,-0.011455554,-0.005059081,11.463267,-0.0020726174,0.0025351192,13.387373,-0.0049640327,0.00028815438,-4.2124696,-0.012489009,-0.0038317498,11.536322,0.0041902685,0.0074411323,-15.757078,-0.0063632177,-0.00073102245,-22.103373,-0.0009831041,0.00048894546,-22.19936,-0.0022594878,-0.001145956,1.8068079,-0.0019163095,-0.0015652481,-16.316006,0.00091775355,-0.00023437702,-13.871405,0.00010214895,0.000982587,-6.072757,-0.0011253826,0.0022041004,0
0.47489256,5283.565735873695,4032.297237058838,9292.548778172953,0.17708663589659468,-413.08655,0.0005888376,-0.0038622413,65.276054,-0.0025666934,0.0011295191,-12.855353,-0.0022100783,0.001173887,38.297783,-0.004230951,0.00094270497,3.439678,0.0010956851,0.0010377303,19.12988,-9.398622e-05,-0.0019663123,-13.175383,-0.00017730921,-0.0012451351,-4.2758946,-0.0024087373,-0.0014909004,2.551902,-0.000915731,0.0011611582,1.9980271,0.0016383609,0.0014924139,-7.064575,0.0012867411,-0.00023964682,-7.1347013,0.00080340356,-0.0014107771,-6.1007347,0.001989376,-0.00064911664,0
0.4360425,3499.544644097318,3198.923857855569,6248.8033737611895,0.10556909140467781,-355.10626,-0.104853906,-0.004725807,115.67578,-0.051187478,-0.004947843,-6.92362,0.015478436,1.918117e-05,28.712978,-0.0067050727,0.0030599288,-1.1164951,0.0014894787,0.00087388384,1.5038754,0.0064073997,0.0005879107,-27.560713,0.014707627,-0.00048355825,-2.7085853,0.014676763,-0.003919396,-4.271086,0.010364834,-0.0023086732,-11.141176,-0.0013402588,0.00013939633,-14.707628,-0.003668961,0.0042154547,4.360707,-0.002122195,0.005757129,-2.257694,-0.0028913254,0.0026874228,1
0.44325423,2363.009874002512,2282.748025891824,4506.8717959699525,0.06800998595549101,-379.127,0.0072349547,-0.0045420476,120.48027,0.0029674517,-0.0027276701,-13.999169,-0.0039460314,-0.0015946127,28.06316,-0.0032690165,-0.003588141,-2.9554484,-0.004198944,0.0005390817,-19.224928,-0.0007315649,0.0024356882,22.703232,0.00479735,0.0007074407,8.797619,0.001996644,0.0011258684,0.9833618,-0.0002765336,-0.0007552247,1.9733778,0.0017764053,-0.0016239401,-8.628275,0.0006066584,0.0023113133,3.7537336,-0.0005296205,0.0038693585,2.2413466,0.001193537,0.0025254851,0
0.43705487,3792.015957313016,3360.955468640864,6862.812238887032,0.10480708647095204,-406.52185,5.4398535e-09,8.15978e-09,67.02282,9.519743e-09,-1.3599634e-09,7.3952723,5.4398535e-09,3.3999084e-09,33.14234,4.07989e-09,-1.5299588e-09,-6.9454627,-6.799817e-10,-1.5299588e-09,12.10161,1.3599634e-09,-3.229913e-09,-7.2314897,-1.3599634e-09,-6.799817e-10,1.6433449,-6.799817e-10,1.1899679e-09,7.8969893,1.3599634e-09,-2.5499314e-10,-11.590054,6.7998167e-09,-2.4649336e-09,-9.449939,-4.7598716e-09,2.5393065e-09,-2.2843325,-1.0199726e-09,7.649794e-10,0.59004766,-4.419881e-09,5.9498395e-10,0
0.44009137,2484.9448530265986,3168.3026399170203,5068.870595637584,0.05404770601113568,-339.80444,-0.013016639,0.017040879,134.5705,-0.015550531,0.0069702207,17.339766,-0.0011727606,-0.012319772,22.707136,0.009236806,-0.010169536,19.424658,-0.001164633,-0.0059248656,18.763914,-0.009563052,-0.004558231,-7.7400837,-0.007292977,-0.00397362,2.344878,0.0013667719,-0.0034724865,-1.9009911,0.00956089,-0.0009438764,-5.1512213,0.006171459,0.00030625952,-2.6363661,0.0012356405,0.001479925,-7.7803426,0.005082113,0.0029411288,-3.5211322,0.008061079,0.0027737769,0
