chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,mfcc,zero_crossing_rate,English Type
0.3699674,4167.224536639759,3355.613158629144,7331.059235792894,-20.592382,0.13423275880865165,0
0.412834,3136.9448035650685,2543.8708194440105,5466.8424175389855,-16.271568,0.1053108112924279,0
0.5050815,2901.376727730562,3578.036548994881,5722.965272744714,-2.928849,0.06650594632274617,0
0.55107087,2613.84783661455,2508.86107891201,4910.623514964985,-8.424916,0.06635829075961198,0
0.5317293,3622.0120286231754,3331.792845493998,6821.61710532645,-6.2447667,0.08254601173460663,0
0.41825584,2973.5102206656256,2637.8935096224855,4882.74906270945,-13.83385,0.08723956642531899,1
0.30347592,2379.3477124980727,2236.1737326574553,4518.515490610665,-8.413799,0.10851646129059848,1
0.4598995,3183.224870179698,3438.29708137483,6085.8540638706145,-10.254775,0.08017907201867101,0
0.40241727,4785.375723675414,3688.091655985255,8534.255550159325,-20.697964,0.1586847464089989,0
0.5256306,2025.5910420375103,2391.0205872149654,3703.6548029767337,-4.85512,0.04909706113936712,0
0.40592787,3366.3750601088977,3244.435284065796,6084.24822669529,-10.485026,0.09117193304769185,0
0.48076555,4062.313365622545,3590.342149370089,7466.65602878971,-13.05033,0.1236084238483607,1
0.40676793,3288.307858566122,3353.9393748297575,5845.857147581549,-8.245957,0.09813015511649546,0
0.5014612,3026.4651718106848,3706.611048175724,6278.465352662852,-8.572656,0.06750525374469037,0
0.4195127,1723.9981682580649,1992.0060000393592,3200.8519436450715,-13.440955,0.04906789754909056,0
0.4323293,4591.357948210915,4221.208265032488,9198.749050826584,-15.271967,0.13709478633490793,1
0.4231484,2758.7466485244595,2126.9504815223668,4906.415363763382,-8.669978,0.1652317170920985,0
0.4480856,3488.849767643841,2863.354218265798,6698.367544320913,-7.8417783,0.19884198693722505,0
0.39673898,2987.7056197566285,3345.5007234421014,5731.05810470937,-8.407893,0.07002508554830261,0
0.46277714,3610.481723158775,3302.5682054930135,6347.001642845945,-9.118685,0.08819130030310154,1
0.44944197,3718.8788698361536,3346.4914541339663,6916.999597797969,-20.497452,0.10665723485783343,1
0.44781256,2888.3163218396635,3029.446146296179,5599.275225903614,-8.26811,0.06957530153005935,0
0.48799497,2962.5330144468853,2936.352339525426,4972.616446978673,-9.860817,0.06861209921918564,0
0.4358525,3969.1408140688686,3940.0181048204486,7773.882742026418,-11.694044,0.10473259161298296,0
0.42630756,2342.6650471581647,3030.14424657393,4467.102498745699,-16.988258,0.048944603070586026,0
0.4347823,1902.061993927989,1849.0895180514583,3458.831320143733,-11.665382,0.06465574108431252,0
0.4479274,4609.345631473658,4202.486690094267,8806.980433501561,-17.79316,0.14205761588917534,0
0.41161427,1490.1502493048479,1753.5640077572884,3008.3146009245406,-9.010197,0.03968388723595467,0
0.5363316,2610.8353394210058,3068.6272353196428,4895.2260535160285,-4.7483597,0.05706874784557049,0
0.36520424,2620.893929710948,2023.5418990626017,4511.904428842905,-12.080006,0.09577752242037957,0
0.5265111,4333.851432132286,3668.0748829763893,7616.683480759298,-8.807788,0.1279212346095463,0
0.403719,3092.144347492592,2893.376786455524,5519.0686677631575,-15.223263,0.09544042321547308,0
0.44682494,2259.4919265580957,2211.577507991252,4119.809817952384,-17.649572,0.0645475977969284,0
